,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8413,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,20785000000.0,14097640000.0,8855400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8414,entity00129271_udf_BS_201832610530598_CurrentAssets,매출채권,Short-term trade Receivable(AR),재무상태표 [abstract],자산 [abstract],유동자산,매출채권,32404826137.0,38175153306.0,36699282265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8415,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,20604249553.0,31914665958.0,20130064432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8416,entity00129271_udf_BS_2018326105544118_CurrentAssets,단기기타채권,other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,단기기타채권,1639901303.0,1795230968.0,1379463427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8417,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,27431535.0,11175111.0,59524279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8418,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,215554142.0,34161305.0,231498025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8419,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,52254261812.0,61466799272.0,59649135103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8420,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기기타금융자산,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기기타금융자산,20915712.0,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8421,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치측정금융자산,13490669844.0,20397705644.0,20633934044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업 및 공동기업 투자,"Investments in subsidiaries, joint ventures and associates",재무상태표 [abstract],자산 [abstract],비유동자산,관계기업 및 공동기업 투자,1044333152.0,953251519.0,517221925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8423,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,6046314504.0,6877072553.0,7217509303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8424,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,28513374958.0,29087290841.0,27323396210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8425,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,927829483.0,1134291090.0,641885424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8426,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,1757626340.0,2568462735.0,2970896229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기기타채권,161280719.0,146326395.0,81681453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8428,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,291917100.0,112919058.0,100747517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,,186479437.0,158862998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8430,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,139115269782.0,158640155782.0,137039897477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8431,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,40571460686.0,55544330258.0,51264642980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8432,dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,24081723287.0,33453691176.0,29664966861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8433,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,6616356256.0,9738199929.0,12851723755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8434,entity00129271_udf_BS_201832611846614_CurrentLiabilities,단기기타채무,Short-term other Payables,재무상태표 [abstract],부채 [abstract],유동부채,단기기타채무,6108833000.0,7268519213.0,6055566819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8435,dart_CurentPortionOfFinanceLeaseLiabilities,단기금융리스부채,Curent portion of finance lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,단기금융리스부채,968555947.0,962133385.0,849100501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8436,entity00129271_udf_BS_202321012197947_CurrentLiabilities,유동성충당부채,Liquidity provision,재무상태표 [abstract],부채 [abstract],유동부채,유동성충당부채,115583997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8437,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,1916605948.0,2654457943.0,533069499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8438,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,763802251.0,1467328612.0,1310215545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8439,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,9491454306.0,16216694888.0,18078490489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8440,dart_PostemploymentBenefitObligations,확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,확정급여부채,7212597048.0,11596972842.0,14088640002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8441,ifrs-full_NoncurrentProvisionsForEmployeeBenefits,기타장기종업원급여충당부채,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],비유동부채,기타장기종업원급여충당부채,166660490.0,194419816.0,142613652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8442,dart_NonCurrentFinanceLeaseLiabilities,장기금융리스부채,Non-current finance lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,장기금융리스부채,1054617724.0,1944450080.0,2448542202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,dart_LongTermTradeAndOtherNonCurrentPayables,장기기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기기타채무,427234651.0,261107862.0,123038134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8444,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,630344393.0,1841090172.0,861902444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8445,ifrs-full_LongtermMiscellaneousOtherProvisions,기타충당부채,Long-term miscellaneous other provisions,재무상태표 [abstract],부채 [abstract],비유동부채,기타충당부채,,105227747.0,85006810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8446,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,,273426369.0,328747245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8447,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,50062914992.0,71761025146.0,69343133469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8448,ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업소유지분,,67775589238.0,65161185180.0,49076318615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8449,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업소유지분,자본금,6613820000.0,6613820000.0,6613820000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8450,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업소유지분,자본잉여금,9051047920.0,9051047920.0,9051047920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8451,dart_ElementsOfOtherStockholdersEquity,기타자본,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업소유지분,기타자본,9516851922.0,17341882211.0,15297288120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8452,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업소유지분,이익잉여금(결손금),42593869396.0,32154435049.0,18114162575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8453,ifrs-full_NoncontrollingInterests,비지배주주지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배주주지분,,21276765552.0,21717945456.0,18620445393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,89052354790.0,86879130636.0,67696764008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8455,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,139115269782.0,158640155782.0,137039897477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8456,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,526440439454.0,496315043560.0,352925495746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8457,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,57965577875.0,32683242792.0,14689444920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8458,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,185777577475.0,176678939962.0,136983504688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8459,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,163312721999.0,167629088007.0,128143133007.0,매출채권,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8460,ifrs-full_CurrentContractAssets,유동계약자산,Current contract assets,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,8523397139.0,0.0,0.0,유동계약자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8461,dart_ShortTermOtherReceivables,미수금,Short-term other Receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,13941458337.0,9049851955.0,8840371681.0,미수금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8462,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,1130267826.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8463,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타금융자산,13035773040.0,1943298178.0,4303078620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8464,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,266591223213.0,276413943186.0,188312230467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8465,entity00112651_udf_BS_2018327181153639_CurrentAssets,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],유동자산,무형자산,38764600.0,57491600.0,225669200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8466,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,Non-current assets or disposal groups classified as held for sale or as held for distribution to owners,재무상태표 [abstract],자산 [abstract],유동자산,매각예정자산,0.0,3220464043.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8467,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,1901255425.0,5317663799.0,8411567851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8468,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,313713379026.0,314423088841.0,267357293914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8469,ifrs-full_OtherNoncurrentFinancialAssets,기타금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타금융자산,7274740150.0,7001834921.0,4237408128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8470,ifrs-full_InvestmentAccountedForUsingEquityMethod,종속기업 및 관계기업투자,Investments accounted for using equity method,재무상태표 [abstract],자산 [abstract],비유동자산,종속기업 및 관계기업투자,0.0,1022489388.0,5948893059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8471,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,287046360206.0,290199907640.0,241075027296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8472,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,8678197763.0,9241160326.0,9414149969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8473,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타비유동채권,1272901794.0,1594337296.0,1805185895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8474,dart_LongTermDepositsProvidedGross,보증금,"Long-term deposits provided, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타비유동채권,1272901794.0,1594337296.0,1805185895.0,보증금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8475,dart_InvestedAssetForPostemploymentBenefit,순확정급여자산,Invested asset for postemployment benefit,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,9039528553.0,5363359270.0,4876629567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,401650560.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8477,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,840153818480.0,810738132401.0,620282789660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8478,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,401660729113.0,367593774543.0,305060596690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8479,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,384355468050.0,345243237558.0,293059871898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8480,dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,55469855905.0,30231669803.0,24527866408.0,매입채무,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8481,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,246387612313.0,293143892509.0,242078419968.0,단기차입금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8482,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,14312540879.0,6081368538.0,17175568310.0,유동성장기차입금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8483,dart_ShortTermOtherPayables,미지급금,Short-term other Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,17644448758.0,15243689014.0,8659593135.0,미지급금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8484,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,560788754.0,542617694.0,618424077.0,유동리스부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8485,dart_CurrentPortionOfBonds,유동성사채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,49980221441.0,0.0,0.0,유동성사채,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8486,ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타금융부채,14414779236.0,13293889316.0,9761501951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8487,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,0.0,1662456567.0,1216996557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8488,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,2890481827.0,7394191102.0,860329284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8489,ifrs-full_CurrentProvisions,유동충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,유동충당부채,0.0,0.0,161897000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8490,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,161776914054.0,169030175442.0,93872200178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8491,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,133259595184.0,140576976025.0,72634775513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8492,dart_BondsIssued,사채,Bonds issued,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,86961961269.0,99902128929.0,49930281187.0,사채,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8493,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,45625436910.0,38382300430.0,19475668967.0,장기차입금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8494,dart_LongTermOtherPayablesGross,장기미지급금,"Long-Term other Payables, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,0.0,1511160100.0,2157203000.0,장기미지급금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
