,종가,시가총액,거래량,거래대금,상장주식수,티커,trade_date
542,3805,172120993790,2352259,8894972210,45235478,128820,20240115
541,6130,173479000000,79517,489884370,28300000,003160,20240115
540,131900,175088412700,976,128663500,1327433,097955,20240115
539,6350,175152685000,176809,1116309560,27583100,014580,20240115
538,741,175566274104,1853247,1369800501,236931544,015590,20240115
537,3155,176349646260,12176,38423320,55895292,100250,20240115
536,8840,176800000000,34600,306209460,20000000,090350,20240115
535,3205,177300600000,80475,257579355,55320000,006060,20240115
534,58700,177369094000,8386,491437700,3021620,003555,20240115
533,6070,178029196990,109144,657984430,29329357,014280,20240115
532,7450,178800000000,1360330,10523200550,24000000,083420,20240115
531,7680,180325201920,44400,341174270,23479844,007860,20240115
530,6190,180925962500,117610,728477170,29228750,015890,20240115
529,2640,180998400000,329127,878266705,68560000,007210,20240115
528,60000,181409160000,6505,389898100,3023486,011785,20240115
527,7000,182014000000,98527,688176130,26002000,092790,20240115
526,11410,182255980550,6037,69637390,15973355,002620,20240115
525,7640,182648410400,62083,476242930,23906860,214390,20240115
524,9680,182670970240,17425,168736860,18870968,005945,20240115
523,3710,183079161930,54604,202287635,49347483,015860,20240115
522,79000,183280000000,392,30641200,2320000,107590,20240115
521,4585,183400000000,15316,70013495,40000000,016450,20240115
520,7000,185165323000,17401,122125120,26452189,139990,20240115
519,5020,185507046900,24463,123179880,36953595,002990,20240115
518,4385,185837497105,120942,531435575,42380273,003580,20240115
517,4800,186156096000,63493,306976490,38782520,317400,20240115
516,13260,186338085960,28902,379863960,14052646,028100,20240115
515,2990,187703977500,50508,151230760,62777250,450140,20240115
514,4675,188870000000,35300,164801150,40400000,417310,20240115
513,4875,189581773875,170538,835084890,38888569,092200,20240115
512,9520,190400000000,66406,631440350,20000000,005680,20240115
511,7340,190528791340,1857,13644210,25957601,039570,20240115
510,2980,191443082100,11857,35350180,64242645,000540,20240115
509,13950,192001285350,10084,139944570,13763533,002390,20240115
508,48150,192429645300,8812,425146900,3996462,000155,20240115
507,7460,194065641060,74956,562884790,26014161,078520,20240115
506,48350,194460170450,6072,293450950,4021927,010955,20240115
505,1754,195135587040,100878,177337339,111251760,010580,20240115
504,3130,195212854120,47214,148054015,62368324,009580,20240115
503,47150,195672500000,0,0,4150000,001080,20240115
502,6600,197331129600,62551,411523850,29898656,460850,20240115
501,12470,197456888380,14287,178245160,15834554,234080,20240115
500,7910,197611891400,19125,152584580,24982540,339770,20240115
499,10170,198544587750,35138,356336610,19522575,002100,20240115
498,8570,198881976050,6295,53963260,23206765,000140,20240115
497,2065,199731762195,373413,768864445,96722403,011330,20240115
496,10570,200118776410,35410,376684550,18932713,003070,20240115
495,33400,200400000000,1531,51573600,6000000,015360,20240115
494,3585,200601844140,38966,139080240,55955884,404990,20240115
493,69400,201744689600,2927,204227100,2906984,009155,20240115
492,5510,202327200000,64698,359949620,36720000,004250,20240115
491,8730,203234400000,23466,205195140,23280000,003200,20240115
490,10050,204252320700,2189892,21409856680,20323614,105840,20240115
489,8340,204464048820,33957,283963790,24516073,004980,20240115
488,41000,205000000000,9020,366734500,5000000,007160,20240115
487,3210,206724000000,32723,104985675,64400000,377190,20240115
486,42850,207394000000,2306,98822400,4840000,025000,20240115
485,2645,207563245965,347158,928080590,78473817,011000,20240115
484,4230,213315803640,586209,2466101650,50429268,363280,20240115
483,1124,213760338388,55643,62115693,190178237,027970,20240115
482,126600,213954000000,713,90046200,1690000,001130,20240115
481,6360,215541354000,13523,86075260,33890150,008060,20240115
480,17100,215911884600,28088,480824420,12626426,002020,20240115
479,19720,216082886000,77978,1546339340,10957550,053690,20240115
478,51200,216301875200,749,38354300,4224646,092230,20240115
477,4100,216521943000,0,0,52810230,109070,20240115
