,티커,buy_date,종가,buy_count,buy_amount
670,047400,20230220,2975,400,1190000
671,450140,20230220,5880,216,1270080
672,009830,20230220,42700,23,982100
673,096770,20230220,158600,6,951600
674,025860,20230220,9270,114,1056780
675,058430,20230220,36650,30,1099500
676,090355,20230220,14990,68,1019320
677,071950,20230220,733,1405,1029865
678,007160,20230220,48000,24,1152000
679,044450,20230220,9180,112,1028160
680,001880,20230221,15800,72,1137600
681,268280,20230221,142100,7,994700
682,002600,20230221,221500,5,1107500
683,012630,20230221,6220,172,1069840
684,264900,20230221,8920,121,1079320
685,105630,20230221,17600,64,1126400
686,234080,20230221,12640,87,1099680
687,003580,20230221,6280,180,1130400
688,112610,20230221,67500,16,1080000
689,014530,20230221,3680,290,1067200
690,047400,20230221,2925,400,1170000
691,450140,20230221,5900,216,1274400
692,009830,20230221,43150,23,992450
693,096770,20230221,162000,6,972000
694,025860,20230221,9390,114,1070460
695,058430,20230221,36450,30,1093500
696,090355,20230221,15170,68,1031560
697,071950,20230221,727,1405,1021435
698,007160,20230221,48100,24,1154400
699,044450,20230221,9140,112,1023680
700,001880,20230222,15300,72,1101600
701,268280,20230222,141000,7,987000
702,002600,20230222,223500,5,1117500
703,012630,20230222,6210,172,1068120
704,264900,20230222,8850,121,1070850
705,105630,20230222,17370,64,1111680
706,234080,20230222,12380,87,1077060
707,003580,20230222,6020,180,1083600
708,112610,20230222,65400,16,1046400
709,014530,20230222,3630,290,1052700
710,047400,20230222,2850,400,1140000
711,450140,20230222,5810,216,1254960
712,009830,20230222,41100,23,945300
713,096770,20230222,158800,6,952800
714,025860,20230222,9200,114,1048800
715,058430,20230222,35850,30,1075500
716,090355,20230222,15050,68,1023400
717,071950,20230222,714,1405,1003170
718,007160,20230222,47300,24,1135200
719,044450,20230222,9140,112,1023680
720,001880,20230223,15590,72,1122480
721,268280,20230223,140400,7,982800
722,002600,20230223,224000,5,1120000
723,012630,20230223,6220,172,1069840
724,264900,20230223,8850,121,1070850
725,105630,20230223,17180,64,1099520
726,234080,20230223,12380,87,1077060
727,003580,20230223,6050,180,1089000
728,112610,20230223,65500,16,1048000
729,014530,20230223,3620,290,1049800
730,047400,20230223,2920,400,1168000
731,450140,20230223,5840,216,1261440
732,009830,20230223,41150,23,946450
733,096770,20230223,156500,6,939000
734,025860,20230223,9180,114,1046520
735,058430,20230223,35500,30,1065000
736,090355,20230223,15010,68,1020680
737,071950,20230223,712,1405,1000360
738,007160,20230223,46900,24,1125600
739,044450,20230223,9080,112,1016960
740,001880,20230224,15450,72,1112400
741,268280,20230224,141400,7,989800
742,002600,20230224,222000,5,1110000
743,012630,20230224,6190,172,1064680
744,264900,20230224,8860,121,1072060
745,105630,20230224,17330,64,1109120
746,234080,20230224,12230,87,1064010
747,003580,20230224,5860,180,1054800
748,112610,20230224,66900,16,1070400
749,014530,20230224,3605,290,1045450
750,047400,20230224,2940,400,1176000
751,450140,20230224,5610,216,1211760
752,009830,20230224,41600,23,956800
753,096770,20230224,155100,6,930600
754,025860,20230224,9070,114,1033980
755,058430,20230224,34500,30,1035000
756,090355,20230224,14930,68,1015240
757,071950,20230224,710,1405,997550
758,007160,20230224,45750,24,1098000
759,044450,20230224,9060,112,1014720
760,001880,20230227,15000,72,1080000
761,268280,20230227,142200,7,995400
762,002600,20230227,225000,5,1125000
763,012630,20230227,6080,172,1045760
764,264900,20230227,8800,121,1064800
765,105630,20230227,17050,64,1091200
766,234080,20230227,12120,87,1054440
767,003580,20230227,5750,180,1035000
768,112610,20230227,66200,16,1059200
769,014530,20230227,3600,290,1044000
770,047400,20230227,2865,400,1146000
771,450140,20230227,5190,216,1121040
772,009830,20230227,41600,23,956800
773,096770,20230227,151900,6,911400
774,025860,20230227,9020,114,1028280
775,058430,20230227,34600,30,1038000
776,090355,20230227,14800,68,1006400
777,071950,20230227,698,1405,980690
778,007160,20230227,46000,24,1104000
779,044450,20230227,8820,112,987840
